donor_id,name,age,gender,blood_group,zone,latitude,longitude,phone_number,total_donations,last_donation_date,days_since_last_donation,donation_frequency_days,availability_status,eligible_to_donate,responded_last_emergency,geo_cluster
DNR00400,Ravi Sen,47,Female,O-,Zone_C_City_Hospital,8.487563,77.042923,9568915703,2,2026-04-17,90.0,78.0,Available,1,1,2
DNR00401,Steven Kumar,44,Female,B+,Zone_B_Medical_College,8.479101,76.863222,9732295732,8,2025-04-26,446.0,156.0,Temporarily Unavailable,1,1,3
DNR00402,Anil Mathew,29,Male,O+,Zone_A_General_Hospital,8.412667,76.947453,9433154770,2,2025-06-06,405.0,158.0,Available,1,1,3
DNR00403,Farhan Khan,22,Male,B+,Zone_B_Medical_College,8.511637,76.885316,9936571442,4,2025-08-09,341.0,60.0,Temporarily Unavailable,1,1,3
DNR00404,Ananya Pillai,27,Female,O-,Zone_E_Community_Clinic,8.51794,77.088535,9222435172,2,2024-10-06,648.0,159.0,Available,1,1,0
DNR00405,Divya Mathew,18,Male,A+,Zone_B_Medical_College,8.512565,76.964617,9475138838,1,2024-05-13,794.0,,Available,1,0,0
DNR00406,Vikram Pandey,38,Male,B+,Zone_B_Medical_College,8.565621,76.851682,9210385522,4,2025-11-17,241.0,103.0,Available,1,0,1
DNR00407,Rohan Gupta,25,Female,O-,Zone_B_Medical_College,8.50769,76.922779,9746820987,5,2026-01-20,177.0,132.0,Available,1,1,3
DNR00408,Rohan Mishra,30,Female,O-,Zone_A_General_Hospital,8.607998,77.020841,9929839316,5,2026-01-16,181.0,163.0,Temporarily Unavailable,1,1,0
DNR00409,Muhammad Joseph,27,Male,B+,Zone_D_Cottage_Hospital,8.609078,76.87642,9705306363,3,2024-06-04,772.0,117.0,Available,1,1,4
DNR00410,Sara Panicker,34,Female,O+,Zone_D_Cottage_Hospital,8.497586,76.93871,9706118438,3,2024-08-18,697.0,160.0,Temporarily Unavailable,1,0,3
DNR00411,Ali Rao,34,Male,A+,Zone_E_Community_Clinic,8.562797,77.00375,9773469560,5,2025-08-20,330.0,111.0,Available,1,1,0
DNR00412,Rahul Sharma,43,Male,O+,Zone_D_Cottage_Hospital,8.479775,76.901365,9603500181,2,2026-05-08,69.0,165.0,Available,0,0,3
DNR00413,Manoj Rao,34,Female,O-,Zone_C_City_Hospital,8.412529,76.868998,9394928601,2,2024-04-22,815.0,149.0,Available,1,1,3
DNR00414,Kiran Menon,45,Female,A-,Zone_C_City_Hospital,8.430682,76.932132,9179661615,5,2025-02-12,519.0,194.0,Temporarily Unavailable,1,0,3
DNR00415,Sneha Thomas,44,Female,A+,Zone_D_Cottage_Hospital,8.600317,76.908692,9161085229,4,2026-06-08,38.0,72.0,Temporarily Unavailable,0,0,4
DNR00416,Suresh Sen,34,Male,B-,Zone_C_City_Hospital,8.512031,76.917151,9792205349,4,2026-04-29,78.0,138.0,Available,0,1,3
DNR00417,George Chatterjee,23,Male,B+,Zone_A_General_Hospital,8.538551,76.933747,9737888347,3,2024-10-25,629.0,132.0,Available,1,0,0
DNR00418,Neha Ahmed,30,Male,O+,Zone_D_Cottage_Hospital,8.556997,76.911191,9695192667,4,2024-11-29,594.0,112.0,Temporarily Unavailable,1,0,4
DNR00419,Thomas Pandey,22,Male,O+,Zone_A_General_Hospital,8.493344,77.005107,9969533218,6,2025-04-12,460.0,158.0,Available,1,1,2
DNR00420,Swati Rao,30,Other,A+,Zone_B_Medical_College,8.615769,76.977718,9749620068,5,2025-08-21,329.0,125.0,Available,1,1,0
DNR00421,Priya Mathew,32,Male,B+,Zone_B_Medical_College,8.614424,76.851877,9583745511,6,2026-05-14,63.0,136.0,Available,0,0,4
DNR00422,Reyansh Bose,29,Male,O+,Zone_C_City_Hospital,8.480494,76.934842,9190547712,3,2024-07-15,731.0,77.0,Available,1,1,3
DNR00423,Neha Rao,49,Male,AB+,Zone_B_Medical_College,8.596937,76.86481,9366012797,6,2026-06-06,40.0,104.0,Not Available,0,1,4
DNR00424,Ayesha Thomas,35,Male,B+,Zone_D_Cottage_Hospital,8.542142,76.848192,9661296425,3,2025-01-26,536.0,121.0,Available,1,1,1
DNR00425,Radha Reddy,33,Female,O-,Zone_C_City_Hospital,8.464142,76.943024,9403754671,1,2025-06-30,381.0,,Available,1,0,3
DNR00426,Ramesh Fernandes,44,Male,O+,Zone_C_City_Hospital,8.484765,76.904932,9741975062,2,2024-08-20,695.0,141.0,Available,1,1,3
DNR00427,Vihaan Bose,31,Female,B+,Zone_C_City_Hospital,8.49547,76.980893,9454002758,5,2026-05-10,67.0,172.0,Available,0,1,0
DNR00428,Reyansh Varghese,28,Male,O+,Zone_D_Cottage_Hospital,8.590954,76.884326,9370578414,6,2025-09-29,290.0,60.0,Available,1,1,4
DNR00429,Imran Chatterjee,20,Male,A+,Zone_E_Community_Clinic,8.643402,77.075513,9261462131,5,2024-02-03,894.0,96.0,Available,1,1,0
DNR00430,Amit Pillai,28,Male,AB+,Zone_E_Community_Clinic,8.575724,76.9319,9251857566,5,2024-09-05,679.0,197.0,Available,1,1,4
DNR00431,Jose Sheikh,49,Female,B-,Zone_C_City_Hospital,8.460859,76.943729,9849987147,6,2024-09-13,671.0,65.0,Available,1,1,3
DNR00432,Hassan Ahmed,34,Male,O+,Zone_B_Medical_College,8.496406,76.865132,9861104727,5,2024-11-14,609.0,101.0,Not Available,1,0,3
DNR00433,Sai Verma,38,Male,AB-,Zone_E_Community_Clinic,8.397123,77.000623,9790945624,6,2025-06-26,385.0,77.0,Available,1,1,2
DNR00434,Thomas Khan,40,Male,B+,Zone_B_Medical_College,8.618275,76.859608,9854658900,1,2024-08-29,686.0,,Temporarily Unavailable,1,1,4
DNR00435,Alice Pandey,18,Male,B+,Zone_E_Community_Clinic,8.481453,76.987269,9793663866,3,2026-04-12,95.0,60.0,Available,1,0,2
DNR00436,Hassan Fernandes,41,Female,B+,Zone_E_Community_Clinic,8.49224,77.007509,9119574893,7,2025-07-11,370.0,142.0,Temporarily Unavailable,1,1,2
DNR00437,Suresh Verma,26,Female,A+,Zone_B_Medical_College,8.554972,76.826102,9466932310,2,2025-12-09,219.0,148.0,Available,1,0,1
DNR00438,Nida Joseph,33,Male,O+,Zone_B_Medical_College,8.541897,76.699018,9247709679,4,2025-11-27,231.0,136.0,Available,1,0,1
DNR00439,Rohan Pillai,22,Female,A+,Zone_C_City_Hospital,8.486894,76.989478,9946237594,2,2024-03-04,864.0,140.0,Not Available,1,1,2
DNR00440,Reyansh Mathew,36,Male,O+,Zone_E_Community_Clinic,8.508743,76.900745,9893112954,3,2024-03-13,855.0,110.0,Temporarily Unavailable,1,0,3
DNR00441,Jessy Mathew,27,Female,A+,Zone_A_General_Hospital,8.429678,77.018282,9461597989,5,2024-09-07,677.0,80.0,Available,1,1,2
DNR00442,Jessy Mishra,34,Female,O+,Zone_E_Community_Clinic,8.500957,76.907843,9741288486,8,2026-03-04,134.0,168.0,Temporarily Unavailable,1,1,3
DNR00443,Ramesh Sharma,31,Male,B-,Zone_B_Medical_College,8.452071,76.927898,9992649957,3,2026-01-12,185.0,84.0,Available,1,1,3
DNR00444,Fatima Mishra,26,Male,B+,Zone_E_Community_Clinic,8.635557,77.086909,9277746324,4,2024-04-09,828.0,109.0,Temporarily Unavailable,1,0,0
DNR00445,Imran Thomas,18,Female,A+,Zone_A_General_Hospital,8.61411,76.909854,9491163514,4,2025-05-22,420.0,105.0,Temporarily Unavailable,1,0,4
DNR00446,Zara Pandey,36,Female,B+,Zone_B_Medical_College,8.545184,76.81648,9755621841,1,2025-04-18,454.0,,Not Available,1,1,1
DNR00447,Anika Mishra,38,Male,B+,Zone_D_Cottage_Hospital,8.54756,76.944194,9673390109,3,2025-11-19,239.0,171.0,Available,1,1,0
DNR00448,Meera Verma,32,Male,A+,Zone_D_Cottage_Hospital,8.654052,76.826767,9308323285,3,2024-03-13,855.0,62.0,Available,1,1,4
DNR00449,Suresh Naidu,33,Female,B+,Zone_E_Community_Clinic,8.537152,76.918201,9595725097,5,2025-04-21,451.0,108.0,Not Available,1,1,4
DNR00450,Nida Verma,25,Male,A+,Zone_D_Cottage_Hospital,8.56369,76.836813,9666355637,3,2025-02-17,514.0,136.0,Available,1,1,1
DNR00451,Sunil Reddy,18,Female,A+,Zone_B_Medical_College,8.527633,76.867131,9749252434,5,2024-04-17,820.0,126.0,Available,1,1,1
DNR00452,Ishaan Chatterjee,28,Female,A+,Zone_C_City_Hospital,8.470481,76.991245,9788460744,2,2026-05-24,53.0,144.0,Available,0,1,2
DNR00453,Priya Chatterjee,23,Male,O-,Zone_C_City_Hospital,8.515478,76.904791,9210154881,4,2024-12-26,567.0,184.0,Available,1,1,3
DNR00454,Ayesha Chatterjee,31,Male,B+,Zone_E_Community_Clinic,8.458541,77.047086,9233871736,3,2024-02-26,871.0,93.0,Available,1,0,2
DNR00455,Anika Pillai,22,Male,A+,Zone_B_Medical_College,8.585051,76.844053,9582452834,6,2025-10-10,279.0,132.0,Available,1,1,1
DNR00456,Anna Mathew,45,Female,AB+,Zone_B_Medical_College,8.628524,77.007298,9569732588,5,2024-03-18,850.0,132.0,Available,1,1,0
DNR00457,Sai Jain,42,Female,O+,Zone_B_Medical_College,8.408813,76.87188,9584394989,2,2024-04-01,836.0,141.0,Not Available,1,1,3
DNR00458,Jessy Sheikh,35,Male,B+,Zone_A_General_Hospital,8.524145,76.847794,9157184151,4,2025-05-18,424.0,171.0,Available,1,1,1
DNR00459,Anil Mathew,28,Female,O+,Zone_C_City_Hospital,8.512901,77.004366,9514642708,6,2025-11-17,241.0,158.0,Available,1,0,0
DNR00460,Sai Sheikh,40,Female,B+,Zone_B_Medical_College,8.522268,76.915348,9442185272,5,2026-06-18,28.0,103.0,Available,0,1,3
DNR00461,Elizabeth Kumar,36,Female,B+,Zone_C_City_Hospital,8.343932,77.084265,9256819248,6,2024-04-27,810.0,131.0,Available,1,1,2
DNR00462,Ishaan Menon,18,Male,A+,Zone_C_City_Hospital,8.528586,76.94668,9607294618,2,2024-03-19,849.0,142.0,Temporarily Unavailable,1,1,0
DNR00463,Fatima Sen,18,Female,A+,Zone_B_Medical_College,8.550485,76.89021,9857563699,5,2024-05-30,777.0,65.0,Available,1,1,4
DNR00464,Priya Thomas,32,Female,A+,Zone_E_Community_Clinic,8.517962,76.934583,9185068029,7,2026-07-11,5.0,120.0,Available,0,1,3
DNR00465,Vivaan Gupta,18,Female,B+,Zone_B_Medical_College,8.441319,76.902092,9260545470,6,2024-03-13,855.0,69.0,Temporarily Unavailable,1,0,3
DNR00466,Nisha Pandey,39,Male,B+,Zone_E_Community_Clinic,8.650996,77.109329,9554466340,4,2025-01-22,540.0,92.0,Available,1,0,0
DNR00467,Krishna Mishra,31,Male,B+,Zone_C_City_Hospital,8.371892,76.981365,9423358638,3,2025-11-15,243.0,153.0,Temporarily Unavailable,1,0,2
DNR00468,Krishna Menon,33,Female,A+,Zone_B_Medical_College,8.421778,76.961144,9786069196,3,2025-05-13,429.0,104.0,Not Available,1,1,2
DNR00469,Thomas Chandran,35,Male,A+,Zone_D_Cottage_Hospital,8.560302,76.852118,9219032752,4,2026-05-13,64.0,60.0,Temporarily Unavailable,0,1,1
DNR00470,Alice Yadav,32,Female,O+,Zone_D_Cottage_Hospital,8.625506,76.816635,9675583372,2,2024-11-12,611.0,125.0,Available,1,1,1
DNR00471,Vivaan Rao,32,Male,AB-,Zone_E_Community_Clinic,8.473255,76.923105,9359779090,6,2024-12-05,588.0,118.0,Available,1,1,3
DNR00472,Ayesha Sharma,30,Male,O+,Zone_C_City_Hospital,8.463685,76.905104,9101679695,9,2025-05-03,439.0,122.0,Available,1,1,3
DNR00473,Radha Sheikh,27,Female,A+,Zone_B_Medical_College,8.707141,76.898656,9547286055,6,2024-12-09,584.0,63.0,Available,1,0,4
DNR00474,Diya Naidu,28,Male,A-,Zone_A_General_Hospital,8.465003,76.895131,9487195336,2,2025-01-26,536.0,144.0,Available,1,0,3
DNR00475,Arjun Mathew,33,Female,O+,Zone_E_Community_Clinic,8.506169,76.995036,9944403809,5,2025-02-12,519.0,138.0,Available,1,1,0
DNR00476,Neha Varghese,26,Male,AB-,Zone_A_General_Hospital,8.557928,77.002528,9604803700,3,2025-06-12,399.0,103.0,Available,1,1,0
DNR00477,Aditya Rao,39,Male,O+,Zone_D_Cottage_Hospital,8.580632,76.913041,9372354893,3,2025-06-29,382.0,98.0,Available,1,1,4
DNR00478,Farhan Nair,30,Male,O+,Zone_C_City_Hospital,8.414227,76.948137,9172541521,3,2024-04-30,807.0,120.0,Temporarily Unavailable,1,1,3
DNR00479,Vikram Das,24,Male,O+,Zone_A_General_Hospital,8.452961,76.91016,9724813934,5,2024-05-17,790.0,80.0,Available,1,1,3
DNR00480,Farhan Mishra,34,Female,B+,Zone_C_City_Hospital,8.457354,77.020339,9147605080,5,2026-03-02,136.0,60.0,Available,1,1,2
DNR00481,Vikram Varghese,37,Male,B+,Zone_C_City_Hospital,8.448212,77.019638,9790196540,3,2024-04-04,833.0,106.0,Not Available,1,1,2
DNR00482,Diya Sen,55,Male,O+,Zone_D_Cottage_Hospital,8.612268,76.814577,9613818935,4,2024-08-03,712.0,122.0,Temporarily Unavailable,1,0,1
DNR00483,Muhammad Reddy,23,Male,B-,Zone_B_Medical_College,8.58751,76.864571,9868847524,4,2026-05-13,64.0,133.0,Temporarily Unavailable,0,0,4
DNR00484,Nida Thomas,50,Male,A+,Zone_A_General_Hospital,8.55602,76.95623,9316456682,4,2025-09-19,300.0,202.0,Available,1,0,0
DNR00485,Aditya Bose,31,Female,B+,Zone_B_Medical_College,8.638841,76.95715,9438868427,5,2026-06-04,42.0,112.0,Available,0,1,4
DNR00486,Elizabeth Verma,18,Male,A+,Zone_E_Community_Clinic,8.46825,77.009023,9975535611,7,2025-06-04,407.0,60.0,Available,1,1,2
DNR00487,Shreya Joseph,25,Male,A+,Zone_C_City_Hospital,8.531788,76.977019,9908839964,4,2026-06-09,37.0,158.0,Temporarily Unavailable,0,0,0
DNR00488,Ali Iyer,18,Male,A+,Zone_C_City_Hospital,8.405866,76.913124,9938422254,7,2025-07-16,365.0,146.0,Available,1,1,3
DNR00489,Vihaan Chatterjee,18,Male,O-,Zone_C_City_Hospital,8.427595,76.959074,9233654018,3,2025-10-10,279.0,150.0,Temporarily Unavailable,1,1,2
DNR00490,Jacob Sheikh,29,Male,B+,Zone_D_Cottage_Hospital,8.628341,76.831598,9898120571,4,2025-06-02,409.0,80.0,Available,1,1,4
DNR00491,Manoj Yadav,30,Male,AB+,Zone_D_Cottage_Hospital,8.646589,76.817218,9300593456,2,2025-08-03,347.0,101.0,Available,1,0,4
DNR00492,Pooja Krishnan,42,Male,AB-,Zone_D_Cottage_Hospital,8.573362,76.846981,9956084565,5,2025-07-05,376.0,128.0,Available,1,1,1
DNR00493,Divya Gupta,34,Other,B+,Zone_A_General_Hospital,8.599354,76.887388,9555803043,5,2024-07-02,744.0,100.0,Temporarily Unavailable,1,1,4
DNR00494,Sai Fernandes,21,Male,B+,Zone_E_Community_Clinic,8.526979,76.948991,9293763673,3,2024-03-26,842.0,186.0,Available,1,1,0
DNR00495,Shreya Verma,38,Female,O+,Zone_C_City_Hospital,8.509177,76.964684,9185973340,4,2026-04-02,105.0,166.0,Available,1,0,0
DNR00496,Rahul Naidu,25,Male,A+,Zone_C_City_Hospital,8.467046,76.938946,9578798403,5,2025-09-06,313.0,106.0,Available,1,1,3
DNR00497,Lakshmi Krishnan,30,Male,B+,Zone_D_Cottage_Hospital,8.651025,76.869985,9840629322,5,2026-01-27,170.0,194.0,Available,1,1,4
DNR00498,Manoj Sheikh,38,Male,O+,Zone_D_Cottage_Hospital,8.550568,76.854492,9880411013,4,2026-06-03,43.0,78.0,Available,0,0,1
DNR00499,George Jain,18,Female,A+,Zone_C_City_Hospital,8.348151,76.960558,9567013808,1,2024-10-25,629.0,,Available,1,1,2
DNR00500,Saanvi Rao,33,Female,O+,Zone_A_General_Hospital,8.404737,76.956463,9820678212,5,2026-05-01,76.0,60.0,Temporarily Unavailable,0,0,2
DNR00501,Muhammad Ahmed,43,Male,A+,Zone_C_City_Hospital,8.437308,77.009866,9960170255,6,2025-02-06,525.0,80.0,Available,1,1,2
DNR00502,Farhan Naidu,28,Female,AB+,Zone_B_Medical_College,8.536232,76.747751,9253308283,2,2026-06-15,31.0,89.0,Available,0,0,1
DNR00503,Steven Chandran,18,Male,O+,Zone_D_Cottage_Hospital,8.603483,76.840908,9235538456,5,2026-06-11,35.0,85.0,Available,0,0,4
DNR00504,Arjun Das,26,Female,B+,Zone_C_City_Hospital,8.505678,76.864292,9511086777,2,2025-07-11,370.0,173.0,Available,1,1,1
DNR00505,Swati Menon,42,Male,B+,Zone_E_Community_Clinic,8.375185,76.952853,9829137330,6,2026-02-09,157.0,180.0,Available,1,1,2
DNR00506,Manoj Sheikh,35,Female,A+,Zone_C_City_Hospital,8.474789,77.05836,9919355714,1,2025-04-18,454.0,,Temporarily Unavailable,1,0,2
DNR00507,Arjun Panicker,51,Female,AB+,Zone_B_Medical_College,8.575417,76.74915,9494009507,5,2025-01-20,542.0,149.0,Available,1,1,1
DNR00508,Anil Khan,36,Male,B+,Zone_C_City_Hospital,8.405052,76.814084,9221814525,4,2025-11-03,255.0,183.0,Available,1,0,3
DNR00509,Vivaan Pandey,34,Male,B+,Zone_B_Medical_College,8.565227,76.823451,9655924752,2,2025-02-20,511.0,115.0,Available,1,1,1
DNR00510,Ramesh Jain,33,Female,AB+,Zone_E_Community_Clinic,8.545943,77.046231,9381080560,1,2026-03-18,120.0,,Temporarily Unavailable,1,1,0
DNR00511,Nida Gupta,18,Male,B+,Zone_D_Cottage_Hospital,8.513059,76.837811,9756998124,3,2025-12-09,219.0,164.0,Available,1,1,1
DNR00512,Anika Krishnan,32,Male,O+,Zone_D_Cottage_Hospital,8.64306,76.893424,9231680929,4,2025-12-24,204.0,118.0,Available,1,1,4
DNR00513,Ishaan Chatterjee,33,Male,O+,Zone_A_General_Hospital,8.439863,77.072783,9285388355,6,2025-04-10,462.0,81.0,Not Available,1,1,2
DNR00514,Anna Krishnan,36,Female,A+,Zone_D_Cottage_Hospital,8.556091,76.787469,9970281936,5,2026-04-18,89.0,95.0,Temporarily Unavailable,0,1,1
DNR00515,Zara Chatterjee,39,Female,O+,Zone_C_City_Hospital,8.554094,76.998098,9473045064,2,2024-09-01,683.0,71.0,Available,1,1,0
DNR00516,Ayesha Pillai,31,Male,O+,Zone_E_Community_Clinic,8.500439,76.91881,9411774120,5,2025-01-07,555.0,104.0,Available,1,1,3
DNR00517,Anna Verma,47,Male,O+,Zone_B_Medical_College,8.451127,76.961661,9861888313,1,2024-07-18,728.0,,Not Available,1,1,2
DNR00518,Elizabeth Krishnan,28,Female,O-,Zone_B_Medical_College,8.491221,76.809143,9488149273,1,2024-04-25,812.0,,Available,1,0,1
DNR00519,Neha Das,38,Male,O+,Zone_A_General_Hospital,8.513443,76.985615,9950474042,4,2025-12-23,205.0,146.0,Not Available,1,0,0
DNR00520,Ishaan Das,49,Male,AB+,Zone_D_Cottage_Hospital,8.527875,76.717151,9487509692,2,2026-06-20,26.0,116.0,Available,0,1,1
DNR00521,Nisha Panicker,33,Male,B-,Zone_C_City_Hospital,8.52411,76.979383,9962925204,4,2025-03-25,478.0,90.0,Not Available,1,1,0
DNR00522,Nisha Sharma,40,Female,A-,Zone_E_Community_Clinic,8.631468,76.905732,9170596494,5,2026-04-19,88.0,60.0,Available,0,0,4
DNR00523,Sneha Ahmed,45,Female,B+,Zone_D_Cottage_Hospital,8.651402,76.93986,9541087900,3,2025-01-24,538.0,84.0,Available,1,0,4
DNR00524,Nida Fernandes,23,Male,O+,Zone_E_Community_Clinic,8.496546,76.911184,9234568604,5,2026-05-02,75.0,147.0,Available,0,0,3
DNR00525,Rahul Rao,39,Female,B+,Zone_A_General_Hospital,8.681595,76.939534,9600184588,5,2025-04-12,460.0,134.0,Not Available,1,0,4
DNR00526,Zara Mathew,27,Male,A+,Zone_C_City_Hospital,8.422,76.957049,9990189659,3,2026-03-07,131.0,170.0,Available,1,1,2
DNR00527,Nida Varghese,27,Male,B-,Zone_E_Community_Clinic,8.520915,76.90323,9924399252,6,2026-01-11,186.0,145.0,Not Available,1,0,3
DNR00528,Ishaan Fernandes,28,Male,AB+,Zone_E_Community_Clinic,8.489766,76.968384,9159499094,2,2024-02-08,889.0,106.0,Available,1,0,2
DNR00529,Alice Kumar,18,Female,B+,Zone_E_Community_Clinic,8.505488,76.903932,9426551245,1,2026-02-10,156.0,,Available,1,0,3
DNR00530,Ananya Reddy,35,Female,AB+,Zone_C_City_Hospital,8.458651,76.982724,9342096876,2,2024-07-20,726.0,109.0,Available,1,1,2
DNR00531,Vikram Mathew,18,Male,O+,Zone_C_City_Hospital,8.462172,76.93359,9184675178,4,2024-03-02,866.0,60.0,Available,1,0,3
DNR00532,Riya Iyer,26,Female,O+,Zone_E_Community_Clinic,8.482271,76.929947,9234400576,2,2025-10-08,281.0,123.0,Available,1,1,3
DNR00533,Muhammad Verma,33,Female,O+,Zone_E_Community_Clinic,8.496485,76.890629,9200317984,4,2025-01-16,546.0,118.0,Available,1,1,3
DNR00534,Neha Rao,37,Male,AB+,Zone_B_Medical_College,8.526099,76.868124,9723464439,3,2024-11-17,606.0,154.0,Available,1,1,1
DNR00535,Rohan Reddy,33,Male,AB+,Zone_E_Community_Clinic,8.479893,76.983076,9749762955,3,2024-07-09,737.0,60.0,Available,1,1,2
DNR00536,Amit Sen,35,Male,AB+,Zone_E_Community_Clinic,8.417839,76.971861,9986090690,2,2026-06-04,42.0,147.0,Available,0,1,2
DNR00537,George Nair,38,Male,O+,Zone_A_General_Hospital,8.527341,77.116168,9788755699,5,2026-05-31,46.0,60.0,Available,0,1,0
DNR00538,Nida Panicker,19,Female,AB-,Zone_C_City_Hospital,8.496127,76.978155,9326353775,6,2024-09-18,666.0,147.0,Available,1,0,0
DNR00539,Nida Panicker,43,Male,O+,Zone_D_Cottage_Hospital,8.651033,76.724692,9786111573,3,2024-10-22,632.0,147.0,Not Available,1,1,1
DNR00540,Vivaan Joseph,20,Male,AB-,Zone_E_Community_Clinic,8.575481,76.93194,9789242701,1,2025-09-23,296.0,,Temporarily Unavailable,1,1,4
DNR00541,Sneha Joseph,18,Male,A+,Zone_B_Medical_College,8.47743,76.953528,9966884723,3,2024-04-13,824.0,70.0,Available,1,0,3
DNR00542,Zara Ahmed,26,Male,O+,Zone_C_City_Hospital,8.391315,76.818575,9178354184,4,2025-04-08,464.0,84.0,Available,1,1,3
DNR00543,Fatima Menon,38,Male,B+,Zone_B_Medical_College,8.497253,76.884537,9546270451,4,2025-04-22,450.0,97.0,Available,1,0,3
DNR00544,Priya Thomas,26,Male,A-,Zone_B_Medical_College,8.505791,76.87655,9751396498,2,2025-08-02,348.0,65.0,Temporarily Unavailable,1,1,3
DNR00545,Rohan Khan,44,Male,O+,Zone_C_City_Hospital,8.491577,76.889242,9470838810,6,2024-06-25,751.0,90.0,Available,1,1,3
DNR00546,Anil Sharma,23,Female,B+,Zone_C_City_Hospital,8.39727,76.857065,9703068400,5,2025-02-04,527.0,121.0,Available,1,1,3
DNR00547,Reyansh Khan,42,Female,A+,Zone_B_Medical_College,8.537416,76.968807,9231556899,3,2025-03-26,477.0,186.0,Available,1,0,0
DNR00548,Saanvi Thomas,22,Female,O+,Zone_B_Medical_College,8.532185,76.844219,9203950725,3,2026-02-22,144.0,145.0,Available,1,0,1
DNR00549,Vihaan Verma,21,Male,A+,Zone_D_Cottage_Hospital,8.60072,76.885229,9760756497,6,2024-02-13,884.0,130.0,Temporarily Unavailable,1,1,4
DNR00550,Sunil Das,23,Male,O+,Zone_B_Medical_College,8.537046,76.867013,9451581531,6,2024-04-04,833.0,67.0,Available,1,1,1
DNR00551,Elizabeth Panicker,39,Male,B-,Zone_C_City_Hospital,8.516583,77.007151,9919395339,4,2026-01-03,194.0,125.0,Not Available,1,0,0
DNR00552,Ananya Joseph,25,Male,O+,Zone_E_Community_Clinic,8.544337,76.936353,9635539154,7,2025-03-25,478.0,249.0,Temporarily Unavailable,1,0,0
DNR00553,Jessy Verma,40,Female,A+,Zone_D_Cottage_Hospital,8.560258,76.99537,9196689473,4,2026-06-23,23.0,147.0,Available,0,1,0
DNR00554,Anil Mathew,18,Male,A+,Zone_D_Cottage_Hospital,8.664363,76.919736,9331009561,4,2025-11-12,246.0,123.0,Available,1,1,4
DNR00555,Kiran Sheikh,21,Female,O+,Zone_A_General_Hospital,8.555544,76.984664,9402104065,4,2026-05-26,51.0,80.0,Available,0,1,0
DNR00556,Pooja Chandran,37,Male,O+,Zone_D_Cottage_Hospital,8.58961,76.805367,9676267306,3,2025-09-27,292.0,111.0,Available,1,1,1
DNR00557,Aarav Chatterjee,40,Male,O+,Zone_A_General_Hospital,8.520397,76.965075,9243811545,5,2025-05-01,441.0,114.0,Not Available,1,0,0
DNR00558,Jessy Gupta,41,Male,O+,Zone_C_City_Hospital,8.465461,76.961433,9532990767,2,2024-05-25,782.0,118.0,Available,1,1,2
DNR00559,Suresh Menon,27,Male,A+,Zone_D_Cottage_Hospital,8.569637,77.005193,9712335251,3,2026-05-25,52.0,143.0,Temporarily Unavailable,0,0,0
DNR00560,Nisha Iyer,39,Female,B+,Zone_C_City_Hospital,8.463127,76.960972,9409883716,5,2024-12-27,566.0,150.0,Available,1,1,2
DNR00561,Arjun Ahmed,35,Female,AB+,Zone_E_Community_Clinic,8.611373,77.147648,9920772671,4,2025-04-11,461.0,121.0,Available,1,1,0
DNR00562,Nisha Gupta,39,Male,O+,Zone_E_Community_Clinic,8.447299,77.039963,9756102581,3,2024-08-19,696.0,143.0,Not Available,1,1,2
DNR00563,Krishna Sharma,18,Male,O+,Zone_A_General_Hospital,8.443483,76.879501,9500718660,4,2025-06-08,403.0,122.0,Temporarily Unavailable,1,1,3
DNR00564,Thomas Khan,27,Female,A+,Zone_E_Community_Clinic,8.418218,76.928094,9910637681,3,2025-07-07,374.0,114.0,Not Available,1,1,3
DNR00565,Rohan Iyer,39,Female,A+,Zone_E_Community_Clinic,8.525127,76.985648,9530986098,1,2025-02-10,521.0,,Available,1,0,0
DNR00566,Neha Menon,48,Male,A+,Zone_A_General_Hospital,8.684382,76.981635,9247141682,2,2026-06-07,39.0,129.0,Available,0,0,4
DNR00567,Ayesha Khan,23,Male,O+,Zone_D_Cottage_Hospital,8.627127,76.914068,9590687732,4,2025-01-31,531.0,90.0,Available,1,1,4
DNR00568,Rohan Chandran,23,Female,AB+,Zone_E_Community_Clinic,8.555699,76.999475,9452150647,3,2026-02-23,143.0,70.0,Available,1,1,0
DNR00569,Elizabeth Chandran,23,Female,B-,Zone_C_City_Hospital,8.46955,76.889993,9521931770,2,2026-01-31,166.0,153.0,Available,1,0,3
DNR00570,Radha Pandey,32,Male,A+,Zone_C_City_Hospital,8.545776,76.952944,9461178244,2,2024-11-16,607.0,147.0,Available,1,1,0
DNR00571,Neha Sen,28,Female,O+,Zone_E_Community_Clinic,8.409634,76.93882,9625968839,1,2025-01-17,545.0,,Available,1,0,3
DNR00572,Ayesha Panicker,25,Male,A+,Zone_C_City_Hospital,8.505432,76.91791,9975903641,2,2025-03-17,486.0,113.0,Available,1,1,3
DNR00573,Vivaan Sheikh,22,Male,AB+,Zone_C_City_Hospital,8.494545,77.009569,9217687031,4,2024-08-26,689.0,148.0,Available,1,1,2
DNR00574,Sunil Panicker,18,Male,A-,Zone_C_City_Hospital,8.626657,76.894131,9878810937,5,2024-04-22,815.0,172.0,Available,1,1,4
DNR00575,George Krishnan,30,Male,A+,Zone_A_General_Hospital,8.585989,76.979287,9609587361,4,2024-11-12,611.0,108.0,Available,1,1,0
